facility,reception_center,cccms,eop,mhcb,short_term_rh,long_term_rh,asu_eop_hub,psychiatric_services_unit,psychiatric_inpatient,developmental_disabilities,source,source_date
PBSP,0,1,0,1,1,0,0,0,0,1,MHSDS Map,2021-07-02
HDSP,0,1,0,1,1,0,0,0,0,0,MHSDS Map,2021-07-02
CCC,0,0,0,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
FSP,0,1,0,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
SAC,1,1,1,1,1,1,1,0,0,0,MHSDS Map,2021-07-02
CMF,0,1,1,1,0,0,1,0,1,1,MHSDS Map,2021-07-02
SOL,0,1,0,1,0,0,0,0,0,0,MHSDS Map,2021-07-02
SQ,0,1,1,0,1,0,0,0,1,1,MHSDS Map,2021-07-02
MCSP,1,1,1,1,1,1,1,0,0,0,MHSDS Map,2021-07-02
CHCF,0,1,1,1,0,0,1,0,1,1,MHSDS Map,2021-07-02
SCC,1,1,1,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
DVI,0,1,0,0,1,0,0,0,0,0,MHSDS Map,2021-07-02
CCWF,1,1,1,1,1,1,1,0,0,1,MHSDS Map,2021-07-02
VSP,0,1,1,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
CTF,1,1,1,0,1,0,0,0,0,0,MHSDS Map,2021-07-02
SVSP,1,1,1,1,1,0,0,1,0,0,MHSDS Map,2021-07-02
PVSP,1,1,0,1,1,0,0,0,0,0,MHSDS Map,2021-07-02
ASP,1,1,0,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
COR,0,1,1,1,1,1,1,0,0,1,MHSDS Map,2021-07-02
SATF,1,1,1,1,1,0,0,0,0,1,MHSDS Map,2021-07-02
KVSP,1,1,1,0,1,0,0,0,0,0,MHSDS Map,2021-07-02
NKSP,1,1,1,1,1,0,0,0,0,0,MHSDS Map,2021-07-02
WSP,1,1,1,1,0,0,0,0,0,0,MHSDS Map,2021-07-02
CCI,1,1,0,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
CAC,1,1,0,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
CMC,1,1,1,1,1,1,0,0,0,0,MHSDS Map,2021-07-02
LAC,1,1,1,1,1,1,0,0,0,0,MHSDS Map,2021-07-02
CIM,1,1,0,1,1,0,0,0,0,1,MHSDS Map,2021-07-02
CIW,1,1,1,1,1,1,1,1,1,1,MHSDS Map,2021-07-02
CRC,1,1,1,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
ISP,0,1,0,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
CVSP,0,1,0,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
CAL,0,1,1,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
CEN,0,1,1,0,0,0,0,0,0,0,MHSDS Map,2021-07-02
RJD,1,1,1,1,1,1,0,0,0,0,MHSDS Map,2021-07-02
