heat,outcome,beta,se,p,sig,p_bh,sig_bh,n_obs,n_fac
Days >90°F,ED/Hospital Stay rate (log),0.0005,0.0008,0.5703,,0.7604,,3437,32
Days >90°F,ED & Hospital Stay Cost [log(y+1)],0.0002,0.0012,0.8804,,0.9604,,3438,32
Days >90°F,Total Labor Cost [log(y+1)],-0.0002,0.0003,0.3895,,0.6446,,3438,32
Days >90°F,Specialty Care Referrals [log(y+1)],-0.0015,0.0011,0.1922,,0.6446,,3438,32
Days >90°F,Prescriptions Per Patient (log),0.0014,0.0006,0.0118,*,0.1952,,3437,32
Days >90°F,Dental+MH Overtime (log),0.0047,0.0043,0.2683,,0.6446,,1432,32
Days >90°F,Modified Programs Days [log(y+1)],-0.0023,0.0048,0.6319,,0.7981,,1538,33
Days >90°F,Inmate-on-Inmate Violence [log(y+1)],0.0014,0.0024,0.5635,,0.7604,,1902,32
Days >90°F,Staff-Involved Incidents [log(y+1)],0.0044,0.0018,0.0163,*,0.1952,,1902,32
Days >90°F,All Violent Incidents [log(y+1)],0.0033,0.0019,0.0912,.,0.5681,,1902,32
Days >90°F,Use of Force Incidents [log(y+1)],0.0017,0.0018,0.35,,0.6446,,1524,32
Days >90°F,Monthly Expenditure [log(y+1)],-0.0004,0.0003,0.1908,,0.6446,,1524,32
Days mean summer temp. anomaly,ED/Hospital Stay rate (log),0.0001,0.0058,0.9845,,0.9845,,3437,32
Days mean summer temp. anomaly,ED & Hospital Stay Cost [log(y+1)],-0.0003,0.0035,0.9279,,0.9682,,3438,32
Days mean summer temp. anomaly,Total Labor Cost [log(y+1)],-0.002,0.0021,0.3246,,0.6446,,3438,32
Days mean summer temp. anomaly,Specialty Care Referrals [log(y+1)],-0.0039,0.0043,0.3662,,0.6446,,3438,32
Days mean summer temp. anomaly,Prescriptions Per Patient (log),0.0035,0.0025,0.1555,,0.6446,,3437,32
Days mean summer temp. anomaly,Dental+MH Overtime (log),-0.0085,0.0101,0.4029,,0.6446,,1432,32
Days mean summer temp. anomaly,Modified Programs Days [log(y+1)],-0.0026,0.0123,0.8309,,0.9496,,1538,33
Days mean summer temp. anomaly,Inmate-on-Inmate Violence [log(y+1)],0.003,0.0097,0.7559,,0.9071,,1902,32
Days mean summer temp. anomaly,Staff-Involved Incidents [log(y+1)],0.0075,0.0076,0.3259,,0.6446,,1902,32
Days mean summer temp. anomaly,All Violent Incidents [log(y+1)],0.0058,0.0064,0.3573,,0.6446,,1902,32
Days mean summer temp. anomaly,Use of Force Incidents [log(y+1)],0.0094,0.0056,0.0947,.,0.5681,,1524,32
Days mean summer temp. anomaly,Monthly Expenditure [log(y+1)],-0.0018,0.0031,0.5522,,0.7604,,1524,32
