heat,outcome,beta,se,p,sig,p_bh,sig_bh,n_obs,n_fac
Days >90°F,ED/Hospital Stay rate (log),0.0005,0.0008,0.5703,,0.7898,,3437,32
Days >90°F,Dental+MH Overtime (log),0.0047,0.0043,0.2683,,0.7898,,1432,32
Days >90°F,Modified Programs Days [log(y+1)],-0.0023,0.0048,0.6319,,0.7898,,1538,33
Days >90°F,Use of Force Incidents [log(y+1)],0.0017,0.0018,0.35,,0.7898,,1524,32
Days >90°F,Monthly Expenditure [log(y+1)],-0.0004,0.0003,0.1908,,0.7898,,1524,32
Days mean summer temp. anomaly,ED/Hospital Stay rate (log),0.0001,0.0058,0.9845,,0.9845,,3437,32
Days mean summer temp. anomaly,Dental+MH Overtime (log),-0.0085,0.0101,0.4029,,0.7898,,1432,32
Days mean summer temp. anomaly,Modified Programs Days [log(y+1)],-0.0026,0.0123,0.8309,,0.9232,,1538,33
Days mean summer temp. anomaly,Use of Force Incidents [log(y+1)],0.0094,0.0056,0.0947,.,0.7898,,1524,32
Days mean summer temp. anomaly,Monthly Expenditure [log(y+1)],-0.0018,0.0031,0.5522,,0.7898,,1524,32
